Modify the time out from 300 to 30000
begin download dataset
Dataset download succeed!
Trainable parameters: 18142736
dataset has 54344 batches
Load the trained epoch :1 and step: 54344
[WARNING] ME(177:281473027448848,MainProcess):2023-12-19-10:25:31.281.618 [mindspore/communication/_comm_helper.py:339] 'BroadcastWorldGroup' group has existed.
time: Tue Dec 19 12:25:42 2023 local_rank: 0, epoch: 1, step: 55034, loss is 0.1349
time: Tue Dec 19 12:26:25 2023 local_rank: 0, epoch: 1, step: 55039, loss is 0.1359
time: Tue Dec 19 12:27:08 2023 local_rank: 0, epoch: 1, step: 55044, loss is 0.136
time: Tue Dec 19 12:27:51 2023 local_rank: 0, epoch: 1, step: 55049, loss is 0.1333
time: Tue Dec 19 12:28:34 2023 local_rank: 0, epoch: 1, step: 55054, loss is 0.1279
time: Tue Dec 19 12:29:18 2023 local_rank: 0, epoch: 1, step: 55059, loss is 0.1238
time: Tue Dec 19 12:30:01 2023 local_rank: 0, epoch: 1, step: 55064, loss is 0.1377
time: Tue Dec 19 12:30:44 2023 local_rank: 0, epoch: 1, step: 55069, loss is 0.1497
time: Tue Dec 19 12:31:27 2023 local_rank: 0, epoch: 1, step: 55074, loss is 0.1163
time: Tue Dec 19 12:32:09 2023 local_rank: 0, epoch: 1, step: 55079, loss is 0.1099
time: Tue Dec 19 12:32:52 2023 local_rank: 0, epoch: 1, step: 55084, loss is 0.1357
time: Tue Dec 19 12:33:35 2023 local_rank: 0, epoch: 1, step: 55089, loss is 0.1245
time: Tue Dec 19 12:34:18 2023 local_rank: 0, epoch: 1, step: 55094, loss is 0.1357
time: Tue Dec 19 12:35:01 2023 local_rank: 0, epoch: 1, step: 55099, loss is 0.1392
time: Tue Dec 19 12:35:43 2023 local_rank: 0, epoch: 1, step: 55104, loss is 0.1199
time: Tue Dec 19 12:36:26 2023 local_rank: 0, epoch: 1, step: 55109, loss is 0.1271
time: Tue Dec 19 12:37:09 2023 local_rank: 0, epoch: 1, step: 55114, loss is 0.1327
time: Tue Dec 19 12:37:52 2023 local_rank: 0, epoch: 1, step: 55119, loss is 0.1418
time: Tue Dec 19 12:38:35 2023 local_rank: 0, epoch: 1, step: 55124, loss is 0.1321
time: Tue Dec 19 12:39:19 2023 local_rank: 0, epoch: 1, step: 55129, loss is 0.1276
time: Tue Dec 19 12:40:02 2023 local_rank: 0, epoch: 1, step: 55134, loss is 0.1244
time: Tue Dec 19 12:40:45 2023 local_rank: 0, epoch: 1, step: 55139, loss is 0.1312
time: Tue Dec 19 12:41:27 2023 local_rank: 0, epoch: 1, step: 55144, loss is 0.1257
time: Tue Dec 19 12:42:10 2023 local_rank: 0, epoch: 1, step: 55149, loss is 0.1255
time: Tue Dec 19 12:42:53 2023 local_rank: 0, epoch: 1, step: 55154, loss is 0.1285
time: Tue Dec 19 12:43:36 2023 local_rank: 0, epoch: 1, step: 55159, loss is 0.1242
time: Tue Dec 19 12:44:19 2023 local_rank: 0, epoch: 1, step: 55164, loss is 0.1279
time: Tue Dec 19 12:45:01 2023 local_rank: 0, epoch: 1, step: 55169, loss is 0.1265
time: Tue Dec 19 12:45:44 2023 local_rank: 0, epoch: 1, step: 55174, loss is 0.131
time: Tue Dec 19 12:46:27 2023 local_rank: 0, epoch: 1, step: 55179, loss is 0.1327
time: Tue Dec 19 12:47:10 2023 local_rank: 0, epoch: 1, step: 55184, loss is 0.1311
time: Tue Dec 19 12:47:54 2023 local_rank: 0, epoch: 1, step: 55189, loss is 0.1315
time: Tue Dec 19 12:48:37 2023 local_rank: 0, epoch: 1, step: 55194, loss is 0.1104
time: Tue Dec 19 12:49:20 2023 local_rank: 0, epoch: 1, step: 55199, loss is 0.1323
time: Tue Dec 19 12:50:03 2023 local_rank: 0, epoch: 1, step: 55204, loss is 0.1254
time: Tue Dec 19 12:50:46 2023 local_rank: 0, epoch: 1, step: 55209, loss is 0.11835
time: Tue Dec 19 12:51:29 2023 local_rank: 0, epoch: 1, step: 55214, loss is 0.1289
time: Tue Dec 19 12:52:12 2023 local_rank: 0, epoch: 1, step: 55219, loss is 0.1239
time: Tue Dec 19 12:52:55 2023 local_rank: 0, epoch: 1, step: 55224, loss is 0.13
time: Tue Dec 19 12:53:38 2023 local_rank: 0, epoch: 1, step: 55229, loss is 0.12036
time: Tue Dec 19 12:54:21 2023 local_rank: 0, epoch: 1, step: 55234, loss is 0.1407
time: Tue Dec 19 12:55:03 2023 local_rank: 0, epoch: 1, step: 55239, loss is 0.116
time: Tue Dec 19 12:55:46 2023 local_rank: 0, epoch: 1, step: 55244, loss is 0.1222
time: Tue Dec 19 12:56:29 2023 local_rank: 0, epoch: 1, step: 55249, loss is 0.1185
time: Tue Dec 19 12:57:12 2023 local_rank: 0, epoch: 1, step: 55254, loss is 0.1293
time: Tue Dec 19 12:57:55 2023 local_rank: 0, epoch: 1, step: 55259, loss is 0.11646
time: Tue Dec 19 12:58:38 2023 local_rank: 0, epoch: 1, step: 55264, loss is 0.12274
time: Tue Dec 19 12:59:21 2023 local_rank: 0, epoch: 1, step: 55269, loss is 0.1104
time: Tue Dec 19 13:00:04 2023 local_rank: 0, epoch: 1, step: 55274, loss is 0.1172
time: Tue Dec 19 13:00:48 2023 local_rank: 0, epoch: 1, step: 55279, loss is 0.1279
time: Tue Dec 19 13:01:31 2023 local_rank: 0, epoch: 1, step: 55284, loss is 0.126
time: Tue Dec 19 13:02:14 2023 local_rank: 0, epoch: 1, step: 55289, loss is 0.1141
time: Tue Dec 19 13:02:57 2023 local_rank: 0, epoch: 1, step: 55294, loss is 0.1242
time: Tue Dec 19 13:03:40 2023 local_rank: 0, epoch: 1, step: 55299, loss is 0.1289
time: Tue Dec 19 13:04:22 2023 local_rank: 0, epoch: 1, step: 55304, loss is 0.126
time: Tue Dec 19 13:05:05 2023 local_rank: 0, epoch: 1, step: 55309, loss is 0.1242
time: Tue Dec 19 13:05:48 2023 local_rank: 0, epoch: 1, step: 55314, loss is 0.125
time: Tue Dec 19 13:06:31 2023 local_rank: 0, epoch: 1, step: 55319, loss is 0.1227
time: Tue Dec 19 13:07:13 2023 local_rank: 0, epoch: 1, step: 55324, loss is 0.12335
time: Tue Dec 19 13:07:56 2023 local_rank: 0, epoch: 1, step: 55329, loss is 0.1295
time: Tue Dec 19 13:08:40 2023 local_rank: 0, epoch: 1, step: 55334, loss is 0.1285
time: Tue Dec 19 13:09:23 2023 local_rank: 0, epoch: 1, step: 55339, loss is 0.1279
time: Tue Dec 19 13:10:07 2023 local_rank: 0, epoch: 1, step: 55344, loss is 0.1248
time: Tue Dec 19 13:10:50 2023 local_rank: 0, epoch: 1, step: 55349, loss is 0.1301
time: Tue Dec 19 13:11:33 2023 local_rank: 0, epoch: 1, step: 55354, loss is 0.1262
